Date,Close
1-Jan-13,1480.40
1-Feb-13,1512.31
1-Mar-13,1550.83
1-Apr-13,1570.70
1-May-13,1639.84
1-Jun-13,1618.77
1-Jul-13,1668.68
1-Aug-13,1670.09
1-Sep-13,1687.17
1-Oct-13,1720.03
1-Nov-13,1783.54
1-Dec-13,1807.78
1-Jan-14,1822.36
1-Feb-14,1817.04
1-Mar-14,1863.52
1-Apr-14,1864.26
1-May-14,1889.77
1-Jun-14,1947.09
1-Jul-14,1973.10
1-Aug-14,1961.53
1-Sep-14,1993.23
1-Oct-14,1937.27
1-Nov-14,2044.57
1-Dec-14,2054.27
1-Jan-15,2028.18
1-Feb-15,2082.20
1-Mar-15,2079.99
1-Apr-15,2094.86
1-May-15,2111.94
1-Jun-15,2099.29
1-Jul-15,2094.14
1-Aug-15,2039.87
1-Sep-15,1944.41
1-Oct-15,2024.81
1-Nov-15,2080.62
1-Dec-15,2054.08
1-Jan-16,1918.60
1-Feb-16,1904.42
1-Mar-16,2021.95
1-Apr-16,2075.54
1-May-16,2065.55
1-Jun-16,2083.89
1-Jul-16,2148.90
1-Aug-16,2170.95
1-Sep-16,2157.69
1-Oct-16,2143.02
1-Nov-16,2164.99
1-Dec-16,2246.63
1-Jan-17,2275.12
1-Feb-17,2329.91
1-Mar-17,2366.82
1-Apr-17,2359.31
1-May-17,2395.35
1-Jun-17,2433.99
1-Jul-17,2454.10
1-Aug-17,2456.22
1-Sep-17,2492.84
1-Oct-17,2557.00
1-Nov-17,2593.61
1-Dec-17,2664.34
1-Jan-18,2789.80
1-Feb-18,2705.16
1-Mar-18,2702.77
1-Apr-18,2653.63
1-May-18,2701.49
1-Jun-18,2754.35
1-Jul-18,2793.64
1-Aug-18,2857.82
1-Sep-18,2901.50
1-Oct-18,2785.46
1-Nov-18,2723.23
1-Dec-18,2567.31
1-Jan-19,2607.39
1-Feb-19,2754.86
1-Mar-19,2803.98
1-Apr-19,2903.80
1-May-19,2854.71
1-Jun-19,2890.17
1-Jul-19,2996.11
1-Aug-19,2897.50
1-Sep-19,2982.16
1-Oct-19,2977.68
1-Nov-19,3104.90
1-Dec-19,3176.75
1-Jan-20,3278.20
1-Feb-20,3277.31
1-Mar-20,2652.39
1-Apr-20,2761.98
1-May-20,2919.61
1-Jun-20,3104.66
1-Jul-20,3207.62
1-Aug-20,3391.71
1-Sep-20,3365.52
1-Oct-20,3418.70
1-Nov-20,3548.99
1-Dec-20,3695.31
1-Jan-21,3793.75
1-Feb-21,3883.43
1-Mar-21,3910.51
1-Apr-21,4141.18
1-May-21,4167.85
1-Jun-21,4238.49
1-Jul-21,4363.71
1-Aug-21,4454.21
1-Sep-21,4445.54
1-Oct-21,4460.71
1-Nov-21,4667.39
1-Dec-21,4674.77